,greeting,farewell,gratitude,you_are_welcome,request_help,affirm_deny,please_wait,confused,displeasure,location_query,help_query,location_statement,welcome,location_unknown,instruction,Empty,price_query,price_statement
greeting,10,0,2,2,4,7,2,2,2,0,8,0,9,0,2,6,0,0
farewell,0,10,7,4,0,3,0,1,5,0,0,0,0,3,0,9,0,0
gratitude,2,7,10,0,1,2,4,0,0,0,0,0,2,0,0,5,0,2
you_are_welcome,2,4,0,10,0,5,0,0,0,0,0,0,0,0,0,9,0,2
request_help,4,0,1,0,10,2,6,8,3,4,0,2,0,1,0,1,4,0
affirm_deny,7,3,2,5,2,10,2,2,2,1,0,1,0,3,0,2,0,3
please_wait,2,0,4,0,6,2,10,6,2,0,0,0,2,0,2,9,0,2
confused,2,1,0,0,8,2,6,10,5,4,0,1,0,5,0,9,2,1
displeasure,2,5,0,0,3,2,2,5,10,0,0,0,0,1,0,9,1,0
location_query,0,0,0,0,4,1,0,4,0,10,0,0,0,5,0,0,0,0
help_query,8,0,0,0,0,0,0,0,0,0,10,0,9,0,0,5,0,1
location_statement,0,0,0,0,2,1,0,1,0,0,0,10,0,1,4,0,0,1
welcome,9,0,2,0,0,0,2,0,0,0,9,0,10,0,0,5,0,4
location_unknown,0,3,0,0,1,3,0,5,1,5,0,1,0,10,1,2,0,1
instruction,2,0,0,0,0,0,2,0,0,0,0,4,0,1,10,0,0,0
Empty,6,9,5,9,1,2,9,9,9,0,5,0,5,2,0,10,0,2
price_query,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,10,0
price_statement,0,0,2,2,0,3,2,1,0,0,1,1,4,1,0,2,0,10